filer,filingYear,name,nature,grossIncomeReceived,address,businessFmv,businessOrTrust,realPropertyNameOrAddress,realPropertyFmv,realPropertyInvestmentOrProperty,realPropertyNature,formUrl,legislatorDigitalDemocracyUrl
Josh Lowenthal,2023,ATL,Partnership,"$10,001 - $100,000","5318 E. 2nd Street, Long Beach CA 90803","$100,001 - $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/18fdabf2-36ac-490f-81ea-791cd5beb3f4.pdf,https://digitaldemocracy.calmatters.org/legislators/josh-lowenthal-164206
Josh Lowenthal,2023,Dough Boys LLC,Partnership,"$10,001 - $100,000","3722 Atlantic Ave, Long Beach 90807","$100,001 - $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/18fdabf2-36ac-490f-81ea-791cd5beb3f4.pdf,https://digitaldemocracy.calmatters.org/legislators/josh-lowenthal-164206
Josh Lowenthal,2023,Jarvik Seven LLC,Partnership,"$10,001 - $100,000","5318 E. 2nd Street Long Beach, 90803","$100,001 - $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/18fdabf2-36ac-490f-81ea-791cd5beb3f4.pdf,https://digitaldemocracy.calmatters.org/legislators/josh-lowenthal-164206
Josh Lowenthal,2023,JOVER,Partnership,$0 - $499,"5318 E. 2nd Street, Long Beach CA 90803","Over $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/18fdabf2-36ac-490f-81ea-791cd5beb3f4.pdf,https://digitaldemocracy.calmatters.org/legislators/josh-lowenthal-164206
Josh Lowenthal,2023,ORV Capital Corp,Partnership,"Over $100,000","5318 E. 2nd Street, Long Beach CA 90803","$100,001 - $1,000,000",Business entity,,"$100,001 - $1,000,000",Investment,Partnership,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/18fdabf2-36ac-490f-81ea-791cd5beb3f4.pdf,https://digitaldemocracy.calmatters.org/legislators/josh-lowenthal-164206
Josh Lowenthal,2022,JOVER,Partnership,$0 - $499,"5318 E. 2nd Street, Long Beach CA 90803","Over $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/210101b1-fc1d-4a6b-b2d2-e95f5e3c8241.pdf,https://digitaldemocracy.calmatters.org/legislators/josh-lowenthal-164206
Josh Lowenthal,2022,ATL,Partnership,"$10,001 - $100,000","5318 E. 2nd Street, Long Beach CA 90803","$100,001 - $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/210101b1-fc1d-4a6b-b2d2-e95f5e3c8241.pdf,https://digitaldemocracy.calmatters.org/legislators/josh-lowenthal-164206
Josh Lowenthal,2022,ORV Capital Corp,Partnership,"Over $100,000","5318 E. 2nd Street, Long Beach CA 90803","$100,001 - $1,000,000",Business entity,Dough Boys LLC dba Nonna Mercato,"$100,001 - $1,000,000",Investment,Partnership,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/210101b1-fc1d-4a6b-b2d2-e95f5e3c8241.pdf,https://digitaldemocracy.calmatters.org/legislators/josh-lowenthal-164206
Josh Lowenthal,2022,Dough Boys LLC,Partnership,"$10,001 - $100,000","3722 Atlantic Ave, Long Beach 90807","$100,001 - $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/210101b1-fc1d-4a6b-b2d2-e95f5e3c8241.pdf,https://digitaldemocracy.calmatters.org/legislators/josh-lowenthal-164206
Josh Lowenthal,2022,Jarvik Seven LLC,Partnership,"$10,001 - $100,000","5318 E. 2nd Street Long Beach, 90803","$100,001 - $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/210101b1-fc1d-4a6b-b2d2-e95f5e3c8241.pdf,https://digitaldemocracy.calmatters.org/legislators/josh-lowenthal-164206
Alexandra Macedo,2024,Macedo Environmental Consulting,Other,"Over $100,000","4001 South K Street, Tulare, CA 93274","$100,001 - $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c7c516e5-6adb-4f66-b794-8171f73d9c2e.pdf,https://digitaldemocracy.calmatters.org/legislators/alexandra-macedo-187421
