filer,filingYear,name,nature,grossIncomeReceived,address,businessFmv,businessOrTrust,realPropertyNameOrAddress,realPropertyFmv,realPropertyInvestmentOrProperty,realPropertyNature,formUrl,legislatorDigitalDemocracyUrl
Roger Niello,2024,The Niello Company,Other,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,"Niello Bavarian Automobiles, Inc.","Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d417069f-fee2-499a-a300-c067666cc701.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,Full Circle,Other,"$10,001 - $100,000",1481 River Park Drive,"$100,001 - $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"Niello Investments I, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,4609 &4545 Madison Ave.,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"Niello Investments I, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,"4525, 4545 &4595 Granite Drive","Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"Niello Investments I, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,2200 Auburn Blvd.,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"Niello Investments II, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,1484 &1990 Fulton Ave.,"$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"Niello Investments II, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,2350 Auburn Blvd.,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"Niello Investments II, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,1201 Blumenfeld Drive,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"Niello Investments II, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,8580 Laguna Grove Drive,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"R.L. Niello Co., Inc",Other,"Over $100,000","2701 Arden Way, Sacramento, CA, 95825","Over $1,000,000",Business entity,2701 &2625 Arden Way,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,Roger Niello Reinsurance Ltd.,Other,"$10,001 - $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,,,--,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"RRD, LP",Partnership,"Over $100,000","481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,150 Automall Drive,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"RRD, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,2551 Trade Wind Avenue,"$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"RRD, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,2131 Northrup Avenue,"$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"RRD, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,3222 Auburn Blvd.,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,"RRD, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,2535 Arden Way,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,Niello Imports of Rocklin,"Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,"Niello Imports II, Inc.","Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,"R.L. Niello Co., Inc.","Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,Niello Performance Motors,"Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,Niello Motor Car Company,"Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2023,The Niello Company,Other,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,"Niello Bavarian Automobiles, Inc.","Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,The Niello Company,Other,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,"Niello Bavarian Automobiles, Inc.","Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,"Niello Imports II, Inc.","Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,"R.L. Niello Co., Inc.","Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,Niello Motor Car Company,"Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,Niello Imports of Rocklin,"Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,The Niello Company,Other,"Over $100,000",Same,"Over $1,000,000",Business entity,Niello Performance Motors,"Over $1,000,000",Investment,Stock,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,Roger Niello Reinsurance Ltd.,Other,"$10,001 - $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,Full Circle,Other,"$10,001 - $100,000",1481 River Park Drive,"$100,001 - $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,"R.L. Niello Co., Inc.",Other,"Over $100,000","2701 Arden Way, Sacramento, CA, 95825","Over $1,000,000",Business entity,2701 & 2625 Arden Way ,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,"Niello Investments I, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,4609 & 4545 Madison Ave. ,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,"Niello Investments I, LP ",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815 ","Over $1,000,000",Business entity,"4525, 4545 & 4595 Granite Drive","Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,"Niello Investments II, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,2350 Auburn Blvd.,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,"Niello Investments II, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,1201 Blumenfeld Drive,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,"Niello Investments II, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,8580 Laguna Grove Drive,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,"RRD, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,2535 Arden Way,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,"RRD, LP ",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,2551 Trade Wind Avenue,"$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,"RRD, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815 ","Over $1,000,000",Business entity,150 Automall Drive,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Roger Niello,2022,"RRD, LP",Partnership,"Over $100,000","1481 River Park Drive, Sacramento, CA, 95815","Over $1,000,000",Business entity,3222 Auburn Blvd.,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://digitaldemocracy.calmatters.org/legislators/roger-niello-165442
Blanca Pacheco,2024,Law Offices of Blanca Pacheco,Sole Proprietorship,,"3223 E Broadway, Long Beach, CA 90803-5817","$2,000 - $10,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ed958216-152e-4e5c-a3d8-c163f358bce1.pdf,https://digitaldemocracy.calmatters.org/legislators/blanca-pacheco-165430
Blanca Pacheco,2023,Law Offices of Blanca Pacheco,Sole Proprietorship,"$10,001 - $100,000","8207 3rd Street, Suite 203, Downey, CA 90241","$10,001 - $100,000",Business entity,"8207 3rd Street, Suite 203 ","$10,001 - $100,000",Property,Leasehold,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/b9977d10-47ce-49d2-9801-2a779747906f.pdf,https://digitaldemocracy.calmatters.org/legislators/blanca-pacheco-165430
Blanca Pacheco,2022,Law Office of Bianca Pacheco,Sole Proprietorship,"$10,001 - $100,000","8207 3rd Street, Suite 203, Downey, CA 90241","$10,001 - $100,000",Business entity,"8207 3rd Street, Suite 203, Downey, CA 90241","$10,001 - $100,000",Investment,Leasehold,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/69d99aab-08de-44d9-8bf2-77e5415a8747.pdf,https://digitaldemocracy.calmatters.org/legislators/blanca-pacheco-165430
Richard Pan,2021,"Wen-Li Wang DDS, Inc",Sole Proprietorship,"Over $100,000","1778 Itasca Ave., Sacramento, CA 95835","$100,001 - $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ab885a81-6192-43da-a7e4-edbf976d5965.pdf,https://digitaldemocracy.calmatters.org/legislators/richard-pan
Richard Pan,2021,"Wang Pan California Properties, LLC",Partnership,"Over $100,000","1778 Itasca Ave., Sacramento, CA 95835","Over $1,000,000",Business entity,"4136 E. Commerce Way, Sacramento, CA 95834","Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ab885a81-6192-43da-a7e4-edbf976d5965.pdf,https://digitaldemocracy.calmatters.org/legislators/richard-pan
Diane Papan,2024,DANIEL LATINI,Sole Proprietorship,"Over $100,000","525 UNIVERSITY AVE., SUITE 220, PALO ALTO 9430","$0 - $1,999",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e4f72ab-eed6-412d-ad7b-d57dca33d76e.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2024,DANIEL LATINI,Sole Proprietorship,"Over $100,000","260 CALIFORNIA ST., 9TH FLOOR, SAN FRANCISCO, CA 941","$0 - $1,999",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e4f72ab-eed6-412d-ad7b-d57dca33d76e.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2024,Latini/Papan trust,Sole Proprietorship,$0 - $499,"233 Eaton Road, San Mateo, CA 94402","$100,001 - $1,000,000",Business entity,Latini/Papan trust,"$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e4f72ab-eed6-412d-ad7b-d57dca33d76e.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2024,LATINI/PAPAN TRUST,,,"233 Eaton Road, San Mateo, CA 94402",,Trust,Property,"$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e4f72ab-eed6-412d-ad7b-d57dca33d76e.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2024,LATINI/PAPAN TRUST,,$0 - $499,"233 Eaton Road, San Mateo, CA 94402",,Trust,Property,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e4f72ab-eed6-412d-ad7b-d57dca33d76e.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2024,LATINI/PAPAN TRUST,,"$10,001 - $100,000","233 EATON ROAD, SAN MATEO, CA 94402",,Trust,Property,"$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e4f72ab-eed6-412d-ad7b-d57dca33d76e.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2024,LATINI/PAPAN TRUST,,"Over $100,000","233 EATON ROAD, SAN MATEO, CA 94402",,Trust,Property,"$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e4f72ab-eed6-412d-ad7b-d57dca33d76e.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2024,Law Office of Diane Papan,Sole Proprietorship,$0 - $499,"440 Green Hills Drive, Millbrae, CA 94030","$10,001 - $100,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e4f72ab-eed6-412d-ad7b-d57dca33d76e.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2023, TRUST Latini/Papan Trust ,,,"233 Eaton Road, San Mateo, CA 94402 ",,Trust,"233 Eaton Road, San Mateo, CA 94402","$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0625805b-7f39-45bc-ac06-07fb05f58c26.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2023,Law Office of Diane Papan ,,"$10,001 - $100,000","440 Green Hills Drive, Millbrae, CA 94030 ",,Trust,,--,--,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0625805b-7f39-45bc-ac06-07fb05f58c26.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2023,LATINI/PAPAN TRUST ,,"$10,001 - $100,000","233 Eaton Road, San Mateo, CA 94402",,Trust,"40 NORTHGATE COURT, DALY CITY, CA 94015 ","$100,001 - $1,000,000",Property,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0625805b-7f39-45bc-ac06-07fb05f58c26.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2023,LATINI/PAPAN TRUST ,,$0 - $499,"233 Eaton Road, San Mateo, CA 94402 ",,Trust,"440 GREEN HILLS D.R., MILLBRAE, CA 94030 ","$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0625805b-7f39-45bc-ac06-07fb05f58c26.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2023,Latini/Papan Trust,,"$10,001 - $100,000","233 Eaton Road, San Mateo, CA 94402 ",,Trust,"4 Crossley Ct., Sacramento, CA 95833 ","$100,001 - $1,000,000",Property,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0625805b-7f39-45bc-ac06-07fb05f58c26.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2023,Latini/Papan Trust ,,"$10,001 - $100,000","233 Eaton Road, San Mateo, CA 94402 ",,Trust,"73-710 El Paseo, Palm Desert, CA ","$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0625805b-7f39-45bc-ac06-07fb05f58c26.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2022,Latini/Papan Trust,,,"233 Eaton RD San Mateo, CA 94402",,Trust,233 Eaton Road,"$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/601cd2fa-b563-4090-9bbe-54c3a9b2787a.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2022,Law Office of Diane Papan,Sole Proprietorship,$0 - $499,"440 Green Hills Dr., Millbrae CA 94030","$10,001 - $100,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/601cd2fa-b563-4090-9bbe-54c3a9b2787a.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2022,Latini/Papan Trust,,"$10,001 - $100,000","233 Eaton Rd. San Mateo, CA 94402",,Trust,"40 Northgate Court Daly City, CA 94015","$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/601cd2fa-b563-4090-9bbe-54c3a9b2787a.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2022,Latini/Papan Trust,,$0 - $499,"233 Eaton Rd. San Mateo, CA 94402",,Trust,"440 Green Hills Drive, Millbrae, CA 94030","$100,001 - $1,000,000",Property,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/601cd2fa-b563-4090-9bbe-54c3a9b2787a.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2022,Latini/Papan Trust,,"$10,001 - $100,000","233 Eaton Rd. San Mateo, CA 94402",,Trust,"4 Crossley Court, Sacramento, CA","$100,001 - $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/601cd2fa-b563-4090-9bbe-54c3a9b2787a.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2022,Latini/Papan Trust,,"$10,001 - $100,000","233 Eaton Rd. San Mateo, CA 94402",,Trust,"73-710 El Paseo, Palm Desert, CA","$100,001 - $1,000,000",Property,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/601cd2fa-b563-4090-9bbe-54c3a9b2787a.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Diane Papan,2022,Latini/Papan Trust,Other,"Over $100,000","525 University Ave., Palo Alto, CA 94301","$2,000 - $10,000",Business entity,,,Property,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/601cd2fa-b563-4090-9bbe-54c3a9b2787a.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-papan-165423
Joe Patterson,2022,Colleen A and Joseph L Patterson Family Trust,,$0 - $499,"1849 Stageline Circle, Rocklin, CA 95765",,Trust,Family Trust,"Over $1,000,000",Property,Property Ownership/Deed of trust,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/b2885dbc-e469-4c2a-8822-e630069a6fee.pdf,https://digitaldemocracy.calmatters.org/legislators/joe-patterson-133512
Joe Patterson,2022,"Joe Patterson, Broker Associate for Amen Real Estate",Other,$0 - $499,"3257 Folsom Blvd, Sacramento, CA 95816","$0 - $1,999",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/b2885dbc-e469-4c2a-8822-e630069a6fee.pdf,https://digitaldemocracy.calmatters.org/legislators/joe-patterson-133512
Joe Patterson,2022,PatterCo LLC (DBA Provident Strategies),Other,"Over $100,000","1849 Stageline Circle, Rocklin, CA 95765 ","$100,001 - $1,000,000",Business entity,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/b2885dbc-e469-4c2a-8822-e630069a6fee.pdf,https://digitaldemocracy.calmatters.org/legislators/joe-patterson-133512
